"","A","B","g","k","step","time"
"18617",3.06880154296548,0.373740503264887,0.190501457538358,1.76301654007462,38,114.524999999994
"18618",3.15050966061235,0.552235790246863,0.234342419308175,1.55961134579357,38,114.524999999994
"18619",3.25176538066076,0.471020785161228,0.335414720291942,1.77186055446404,38,114.524999999994
"18620",3.15050966061235,0.552235790246863,0.234342419308175,1.55961134579357,38,114.524999999994
"18621",3.26060588274574,0.565380207903254,0.110771004466218,1.64862391461999,38,114.524999999994
"18622",3.1190372479886,0.431465467372356,0.112537564481087,1.69101774210096,38,114.524999999994
"18623",3.24976848778523,0.528646424778172,0.186580980160022,1.75944490590561,38,114.524999999994
"18624",3.24976848778523,0.528646424778172,0.186580980160022,1.75944490590561,38,114.524999999994
"18625",3.26795215976744,0.522369224728863,0.190114458384745,1.7506753075674,38,114.524999999994
"18626",3.19716590423059,0.45148711596773,0.0429672302561646,1.77960847127076,38,114.524999999994
"18627",3.07751680190667,0.377955939844996,0.14002300526226,1.88277322195212,38,114.524999999994
"18628",3.1459401463243,0.490112206404773,0.193737068065826,1.76108484950666,38,114.524999999994
"18629",3.18268304379149,0.61945169403656,0.162009863709526,1.54389803204739,38,114.524999999994
"18630",3.31191660983296,0.599880614753869,0.248666364519454,1.59000786938899,38,114.524999999994
"18631",3.31191660983296,0.599880614753869,0.248666364519454,1.59000786938899,38,114.524999999994
